time,temperature_2m_mean (°C)
1/1/2013,9
1/2/2013,8.6
1/3/2013,8.8
1/4/2013,8.4
1/5/2013,8.3
1/6/2013,5.7
1/7/2013,6.3
1/8/2013,2.1
1/9/2013,2.9
1/10/2013,6.4
1/11/2013,9
1/12/2013,8.2
1/13/2013,7.1
1/14/2013,8.6
1/15/2013,10.7
1/16/2013,11.1
1/17/2013,10.2
1/18/2013,9.4
1/19/2013,7.9
1/20/2013,10.4
1/21/2013,10.6
1/22/2013,10.6
1/23/2013,10.3
1/24/2013,9.7
1/25/2013,7.9
1/26/2013,7.9
1/27/2013,6.6
1/28/2013,7.9
1/29/2013,7.2
1/30/2013,7.6
1/31/2013,9.6
2/1/2013,8.5
2/2/2013,10.5
2/3/2013,11.9
2/4/2013,11.7
2/5/2013,10.3
2/6/2013,10.5
2/7/2013,9.8
2/8/2013,8
2/9/2013,8.2
2/10/2013,7.9
2/11/2013,6.5
2/12/2013,8.7
2/13/2013,9.6
2/14/2013,7.1
2/15/2013,6.8
2/16/2013,7.6
2/17/2013,6.5
2/18/2013,6.5
2/19/2013,8.9
2/20/2013,7.9
2/21/2013,9.1
2/22/2013,10.9
2/23/2013,11.3
2/24/2013,11.8
2/25/2013,12.6
2/26/2013,11.3
2/27/2013,8.5
2/28/2013,7.3
3/1/2013,8.3
3/2/2013,9.1
3/3/2013,8.1
3/4/2013,8.5
3/5/2013,9.4
3/6/2013,7.7
3/7/2013,9.5
3/8/2013,10.9
3/9/2013,12.4
3/10/2013,13.5
3/11/2013,14.2
3/12/2013,12.4
3/13/2013,12.3
3/14/2013,12.4
3/15/2013,9.8
3/16/2013,7.8
3/17/2013,7.1
3/18/2013,8.7
3/19/2013,12.4
3/20/2013,11.4
3/21/2013,13.9
3/22/2013,11.6
3/23/2013,11.2
3/24/2013,12.3
3/25/2013,13.2
3/26/2013,12.3
3/27/2013,13.1
3/28/2013,13.3
3/29/2013,12.9
3/30/2013,14.5
3/31/2013,15.6
4/1/2013,14.5
4/2/2013,14.5
4/3/2013,13.2
4/4/2013,14.2
4/5/2013,14.5
4/6/2013,15.1
4/7/2013,14.9
4/8/2013,13.2
4/9/2013,13.3
4/10/2013,14
4/11/2013,14.4
4/12/2013,16.1
4/13/2013,17.3
4/14/2013,15.6
4/15/2013,13.1
4/16/2013,13.3
4/17/2013,13.3
4/18/2013,12.3
4/19/2013,12.1
4/20/2013,13.2
4/21/2013,15.3
4/22/2013,15.7
4/23/2013,17.1
4/24/2013,18.3
4/25/2013,19.6
4/26/2013,20.2
4/27/2013,20.1
4/28/2013,19.8
4/29/2013,21.7
4/30/2013,22.4
5/1/2013,22.1
5/2/2013,22.3
5/3/2013,22.4
5/4/2013,23.4
5/5/2013,23.2
5/6/2013,24
5/7/2013,21.9
5/8/2013,18.5
5/9/2013,16.6
5/10/2013,17
5/11/2013,18.9
5/12/2013,18.9
5/13/2013,17.4
5/14/2013,17.5
5/15/2013,19.3
5/16/2013,19.7
5/17/2013,21.2
5/18/2013,22.9
5/19/2013,24.8
5/20/2013,24.9
5/21/2013,23.3
5/22/2013,24.3
5/23/2013,21.8
5/24/2013,19.9
5/25/2013,20.4
5/26/2013,21.3
5/27/2013,20.2
5/28/2013,20.1
5/29/2013,21.9
5/30/2013,24.2
5/31/2013,20.7
6/1/2013,19.8
6/2/2013,19.5
6/3/2013,20
6/4/2013,21.1
6/5/2013,21
6/6/2013,21.4
6/7/2013,22.1
6/8/2013,21.9
6/9/2013,22.6
6/10/2013,24.1
6/11/2013,23.4
6/12/2013,20.8
6/13/2013,19.5
6/14/2013,20.6
6/15/2013,22.9
6/16/2013,25.5
6/17/2013,26.5
6/18/2013,26.7
6/19/2013,26.5
6/20/2013,27
6/21/2013,26.3
6/22/2013,27
6/23/2013,28.5
6/24/2013,29.2
6/25/2013,27.6
6/26/2013,27.2
6/27/2013,26.3
6/28/2013,25.9
6/29/2013,25.6
6/30/2013,23.3
7/1/2013,24.2
7/2/2013,24.8
7/3/2013,25
7/4/2013,25.8
7/5/2013,25.4
7/6/2013,24.5
7/7/2013,25.5
7/8/2013,26.1
7/9/2013,26.4
7/10/2013,26.1
7/11/2013,26.4
