time,temperature_2m_mean (°C)
1/1/2013,11
1/2/2013,11.2
1/3/2013,11.1
1/4/2013,10.5
1/5/2013,10.6
1/6/2013,9
1/7/2013,8.4
1/8/2013,4.1
1/9/2013,5.1
1/10/2013,8
1/11/2013,11.3
1/12/2013,11.3
1/13/2013,10.7
1/14/2013,11.9
1/15/2013,13.5
1/16/2013,13.7
1/17/2013,12.3
1/18/2013,12.1
1/19/2013,10.5
1/20/2013,12.1
1/21/2013,13.4
1/22/2013,12.9
1/23/2013,12.8
1/24/2013,12.4
1/25/2013,10.9
1/26/2013,9.9
1/27/2013,8.7
1/28/2013,9.6
1/29/2013,9.7
1/30/2013,9.5
1/31/2013,12.2
2/1/2013,11.2
2/2/2013,12.8
2/3/2013,14.6
2/4/2013,13.9
2/5/2013,12.6
2/6/2013,11.8
2/7/2013,12.9
2/8/2013,10.8
2/9/2013,10.4
2/10/2013,10
2/11/2013,9.2
2/12/2013,10.7
2/13/2013,11.8
2/14/2013,9.7
2/15/2013,9.1
2/16/2013,9.5
2/17/2013,8.6
2/18/2013,9.3
2/19/2013,11.1
2/20/2013,10.5
2/21/2013,11.2
2/22/2013,12.2
2/23/2013,12.8
2/24/2013,13.6
2/25/2013,14.3
2/26/2013,13.3
2/27/2013,11.2
2/28/2013,9.9
3/1/2013,10.2
3/2/2013,10.7
3/3/2013,10.4
3/4/2013,11.2
3/5/2013,11.2
3/6/2013,9.8
3/7/2013,11.2
3/8/2013,13
3/9/2013,14
3/10/2013,15
3/11/2013,16.3
3/12/2013,14.2
3/13/2013,14.3
3/14/2013,15.2
3/15/2013,12.2
3/16/2013,9.8
3/17/2013,9.1
3/18/2013,10.5
3/19/2013,13.5
3/20/2013,13.5
3/21/2013,14.8
3/22/2013,12.9
3/23/2013,13.2
3/24/2013,14.1
3/25/2013,14.8
3/26/2013,14.7
3/27/2013,15.1
3/28/2013,15.3
3/29/2013,14.1
3/30/2013,15.4
3/31/2013,16.5
4/1/2013,15.8
4/2/2013,16.2
4/3/2013,15.4
4/4/2013,15.4
4/5/2013,16.2
4/6/2013,17.2
4/7/2013,16.7
4/8/2013,14.2
4/9/2013,14.8
4/10/2013,15.7
4/11/2013,16.8
4/12/2013,17.9
4/13/2013,18.8
4/14/2013,17.4
4/15/2013,15.2
4/16/2013,15.3
4/17/2013,15.6
4/18/2013,15
4/19/2013,14.3
4/20/2013,15.2
4/21/2013,16.9
4/22/2013,17.9
4/23/2013,19.3
4/24/2013,19.9
4/25/2013,21.3
4/26/2013,21.7
4/27/2013,21.8
4/28/2013,21.5
4/29/2013,23.4
4/30/2013,23.6
5/1/2013,23.9
5/2/2013,23.7
5/3/2013,23.6
5/4/2013,25.2
5/5/2013,25.1
5/6/2013,25.4
5/7/2013,23
5/8/2013,20.5
5/9/2013,18.5
5/10/2013,19
5/11/2013,21
5/12/2013,20.8
5/13/2013,19.2
5/14/2013,19.8
5/15/2013,21.2
5/16/2013,20.5
5/17/2013,21.6
5/18/2013,24.5
5/19/2013,26.2
5/20/2013,26.1
5/21/2013,25.6
5/22/2013,25.3
5/23/2013,23.9
5/24/2013,21.1
5/25/2013,21.7
5/26/2013,22.4
5/27/2013,21.3
5/28/2013,21.5
5/29/2013,23.4
5/30/2013,24.2
5/31/2013,21.7
6/1/2013,21.4
6/2/2013,20.7
6/3/2013,21.3
6/4/2013,22.5
6/5/2013,22.3
6/6/2013,23.1
6/7/2013,23.5
6/8/2013,23.7
6/9/2013,24.4
6/10/2013,25.7
6/11/2013,24.7
6/12/2013,22.2
6/13/2013,21.3
6/14/2013,22.9
6/15/2013,24.9
6/16/2013,27.2
6/17/2013,28.1
6/18/2013,28.2
6/19/2013,28.3
6/20/2013,28.5
6/21/2013,27.6
6/22/2013,28.6
6/23/2013,29.6
6/24/2013,29.9
6/25/2013,28
6/26/2013,28
6/27/2013,27.5
6/28/2013,27.3
6/29/2013,26.6
6/30/2013,24
7/1/2013,25.8
7/2/2013,26.5
7/3/2013,26.9
7/4/2013,27.7
7/5/2013,27.3
7/6/2013,26.4
7/7/2013,27.4
7/8/2013,27.9
7/9/2013,28.2
7/10/2013,27.9
7/11/2013,28.1
7/12/2013,28.4
7/13/2013,28.3
7/14/2013,29
7/15/2013,28.6
7/16/2013,28.1
7/17/2013,25.1
7/18/2013,26.1
7/19/2013,26.8
7/20/2013,27.8
7/21/2013,28.6
7/22/2013,26.4
7/23/2013,26.9
7/24/2013,28.3
7/25/2013,29.5
7/26/2013,30.4
7/27/2013,30.6
7/28/2013,29.9
7/29/2013,30.4
7/30/2013,31.1
7/31/2013,32
8/1/2013,29.1
8/2/2013,28.6
8/3/2013,29.5
8/4/2013,30.5
8/5/2013,28.2
8/6/2013,27.8
8/7/2013,28.5
8/8/2013,28.5
8/9/2013,29
8/10/2013,27.9
8/11/2013,28.3
8/12/2013,29.1
8/13/2013,29.7
8/14/2013,29.8
8/15/2013,29.1
8/16/2013,28
8/17/2013,27.9
8/18/2013,28.3
8/19/2013,28.8
8/20/2013,28.7
8/21/2013,27
8/22/2013,26
8/23/2013,27.6
8/24/2013,27.5
8/25/2013,28
8/26/2013,28.4
8/27/2013,29.4
8/28/2013,30.4
8/29/2013,28.6
8/30/2013,27.4
8/31/2013,26.5
9/1/2013,26.4
9/2/2013,26.7
9/3/2013,26.7
9/4/2013,26.8
9/5/2013,25.5
9/6/2013,25.6
9/7/2013,25.7
9/8/2013,26.7
9/9/2013,25.6
9/10/2013,26.7
9/11/2013,28.2
9/12/2013,29
9/13/2013,26.9
9/14/2013,25
9/15/2013,24.8
9/16/2013,23.7
9/17/2013,23.5
9/18/2013,24.1
9/19/2013,23.9
9/20/2013,24.7
9/21/2013,23.5
9/22/2013,22
9/23/2013,21.3
9/24/2013,23.1
9/25/2013,24.2
9/26/2013,23.8
9/27/2013,24.3
9/28/2013,24.5
9/29/2013,24.8
9/30/2013,25.8
10/1/2013,23.4
10/2/2013,20.6
10/3/2013,16.8
10/4/2013,15.4
10/5/2013,16
10/6/2013,16.7
10/7/2013,17.4
10/8/2013,18.5
10/9/2013,19.4
10/10/2013,21.8
10/11/2013,22.3
10/12/2013,24
10/13/2013,23.1
10/14/2013,22.4
10/15/2013,22.7
10/16/2013,22.1
10/17/2013,19.6
10/18/2013,20.5
10/19/2013,20.1
10/20/2013,19.3
10/21/2013,19.9
10/22/2013,21
10/23/2013,20.1
10/24/2013,19.3
10/25/2013,18.4
10/26/2013,17.6
10/27/2013,18.5
10/28/2013,20.5
10/29/2013,21.1
10/30/2013,20.6
