time,temperature_2m_mean (°C)
1/1/2013,11
1/2/2013,11.2
1/3/2013,11.3
1/4/2013,10.5
1/5/2013,9.6
1/6/2013,8.9
1/7/2013,7.7
1/8/2013,5.7
1/9/2013,5
1/10/2013,6.9
1/11/2013,11.8
1/12/2013,11
1/13/2013,10.1
1/14/2013,11.7
1/15/2013,13.4
1/16/2013,12.3
1/17/2013,12.2
1/18/2013,10.8
1/19/2013,10.2
1/20/2013,12.8
1/21/2013,13.4
1/22/2013,12
1/23/2013,11.6
1/24/2013,11.8
1/25/2013,10.2
1/26/2013,10.1
1/27/2013,9.4
1/28/2013,9.1
1/29/2013,10
1/30/2013,9
1/31/2013,9.6
2/1/2013,10.1
2/2/2013,12.7
2/3/2013,14.7
2/4/2013,13.6
2/5/2013,13.2
2/6/2013,11.8
2/7/2013,11.8
2/8/2013,8.8
2/9/2013,9.4
2/10/2013,9
2/11/2013,7.8
2/12/2013,10.6
2/13/2013,11.4
2/14/2013,8
2/15/2013,9.6
2/16/2013,9.7
2/17/2013,9.2
2/18/2013,9
2/19/2013,11.1
2/20/2013,10.3
2/21/2013,11
2/22/2013,13.2
2/23/2013,12.9
2/24/2013,14.8
2/25/2013,15.4
2/26/2013,12.6
2/27/2013,10.1
2/28/2013,10.8
3/1/2013,11.1
3/2/2013,10.9
3/3/2013,10.7
3/4/2013,11
3/5/2013,11.3
3/6/2013,10.8
3/7/2013,12.8
3/8/2013,12.9
3/9/2013,14.1
3/10/2013,14.9
3/11/2013,15.5
3/12/2013,13.4
3/13/2013,14
3/14/2013,14.8
3/15/2013,10.5
3/16/2013,8.7
3/17/2013,8.8
3/18/2013,9.1
3/19/2013,12.9
3/20/2013,14.4
3/21/2013,16.4
3/22/2013,11.8
3/23/2013,11.8
3/24/2013,12.2
3/25/2013,14.9
3/26/2013,13.4
3/27/2013,14.2
3/28/2013,15.6
3/29/2013,16.9
3/30/2013,17.6
3/31/2013,15.8
4/1/2013,14.7
4/2/2013,16.1
4/3/2013,13.8
4/4/2013,13.8
4/5/2013,14.8
4/6/2013,16.9
4/7/2013,16
4/8/2013,13.7
4/9/2013,14
4/10/2013,14.8
4/11/2013,15
4/12/2013,15.7
4/13/2013,15.9
4/14/2013,16.6
4/15/2013,14.7
4/16/2013,14.1
4/17/2013,15.8
4/18/2013,14.5
4/19/2013,13.9
4/20/2013,13.2
4/21/2013,15
4/22/2013,16.7
4/23/2013,17.4
4/24/2013,18.4
4/25/2013,19
4/26/2013,20.3
4/27/2013,19.5
4/28/2013,19.3
4/29/2013,20.6
4/30/2013,21.6
5/1/2013,23
5/2/2013,24.2
5/3/2013,22.9
5/4/2013,24.4
5/5/2013,23.8
5/6/2013,24.6
5/7/2013,21.6
5/8/2013,19
5/9/2013,17.7
5/10/2013,17.8
5/11/2013,19.3
5/12/2013,18.6
5/13/2013,17.5
5/14/2013,18.3
5/15/2013,19.1
5/16/2013,19.3
5/17/2013,21.9
5/18/2013,23.6
5/19/2013,25.6
5/20/2013,23.6
5/21/2013,24.6
5/22/2013,24.5
5/23/2013,20
5/24/2013,18.8
5/25/2013,19.4
5/26/2013,20.4
5/27/2013,19.3
5/28/2013,21.8
5/29/2013,21.4
5/30/2013,21.2
5/31/2013,19
6/1/2013,17.9
6/2/2013,18.6
6/3/2013,19.2
6/4/2013,19.7
6/5/2013,20.7
6/6/2013,21.6
6/7/2013,23.9
6/8/2013,23.5
6/9/2013,23.3
6/10/2013,23.8
6/11/2013,23.8
6/12/2013,21.1
6/13/2013,20.4
6/14/2013,21.4
6/15/2013,23.2
6/16/2013,24.7
6/17/2013,26.1
6/18/2013,27.8
6/19/2013,28.2
6/20/2013,28
6/21/2013,28.1
6/22/2013,28
6/23/2013,28.3
6/24/2013,28.2
6/25/2013,24.4
6/26/2013,23.6
6/27/2013,24.1
6/28/2013,24.4
6/29/2013,23.4
6/30/2013,22
7/1/2013,23.7
7/2/2013,24.6
7/3/2013,24.9
7/4/2013,24.9
7/5/2013,25.5
7/6/2013,26.9
7/7/2013,27.5
7/8/2013,27.8
7/9/2013,28
7/10/2013,27.6
7/11/2013,26.7
7/12/2013,26.4
7/13/2013,27
7/14/2013,27.7
7/15/2013,26.6
7/16/2013,26.3
7/17/2013,25.5
7/18/2013,26.1
7/19/2013,26.9
7/20/2013,26.9
7/21/2013,27.8
7/22/2013,27
7/23/2013,26.9
7/24/2013,28.2
7/25/2013,28.9
7/26/2013,29.4
7/27/2013,29
7/28/2013,28.3
7/29/2013,30.1
7/30/2013,30
7/31/2013,30
8/1/2013,29.1
8/2/2013,30.3
8/3/2013,29.6
8/4/2013,31.1
8/5/2013,30.3
8/6/2013,28.9
8/7/2013,29
8/8/2013,28.6
8/9/2013,29
8/10/2013,28.2
8/11/2013,28.8
8/12/2013,28.8
8/13/2013,29.5
8/14/2013,30
8/15/2013,28.7
8/16/2013,28.1
8/17/2013,29
8/18/2013,29.5
8/19/2013,29.5
8/20/2013,28.4
8/21/2013,27.9
8/22/2013,26.4
8/23/2013,27.1
8/24/2013,26.9
8/25/2013,26.5
8/26/2013,26.7
8/27/2013,28.3
8/28/2013,28.9
8/29/2013,27.2
8/30/2013,26.2
8/31/2013,26.3
9/1/2013,25.4
9/2/2013,26
9/3/2013,25.7
9/4/2013,25.8
9/5/2013,24.2
9/6/2013,24.4
9/7/2013,25.3
9/8/2013,25.8
9/9/2013,25.4
9/10/2013,26.2
9/11/2013,27.7
9/12/2013,27.5
9/13/2013,25.2
9/14/2013,23.5
9/15/2013,22.9
9/16/2013,21.7
9/17/2013,21.8
9/18/2013,23.1
9/19/2013,22
9/20/2013,22.8
9/21/2013,23.1
9/22/2013,21.9
9/23/2013,20.9
9/24/2013,20.7
9/25/2013,20.8
9/26/2013,21.2
9/27/2013,22.3
9/28/2013,22.4
9/29/2013,23
9/30/2013,22.5
10/1/2013,21.1
10/2/2013,20.4
10/3/2013,19.8
10/4/2013,16.7
10/5/2013,16.5
10/6/2013,16.9
10/7/2013,18.6
10/8/2013,19.1
10/9/2013,19.4
10/10/2013,20.2
10/11/2013,21.6
10/12/2013,22.6
10/13/2013,23.1
10/14/2013,21.2
10/15/2013,21.4
10/16/2013,20.1
10/17/2013,18.2
10/18/2013,17.9
10/19/2013,18.7
10/20/2013,18.6
10/21/2013,17.5
10/22/2013,17.9
10/23/2013,19.6
10/24/2013,20.3
10/25/2013,19
10/26/2013,18
10/27/2013,17.6
10/28/2013,18.4
10/29/2013,18
10/30/2013,18.6
10/31/2013,19.3
11/1/2013,18.6
