,input_lst_layer,lstm_activations,time_steps,dropout,train_mse,train_mae,test_mse,test_mae,type_model
0,relu,relu,15,0.2,1.8861463069915771,1.119143009185791,1.841209053993225,1.0939490795135498,1
1,linear,relu,15,0.2,1.7459949254989624,0.987871527671814,1.9890166521072388,1.0524977445602417,1
2,tanh,relu,15,0.2,1.5804206132888794,0.9904734492301941,1.5804706811904907,0.9972911477088928,1
3,relu,linear,15,0.2,1.410054326057434,0.8987354040145874,1.4443142414093018,0.8743483424186707,1
4,linear,linear,15,0.2,1.3665916919708252,0.8909193277359009,1.3436810970306396,0.8388171195983887,1
5,tanh,linear,15,0.2,2.459174156188965,1.2783253192901611,2.7189695835113525,1.3656195402145386,1
6,relu,tanh,15,0.2,1.4229555130004883,0.9139497876167297,1.3644155263900757,0.8530256748199463,1
7,linear,tanh,15,0.2,1.448573350906372,0.9145113229751587,1.4676216840744019,0.8922598958015442,1
8,tanh,tanh,15,0.2,1.4905531406402588,0.9500081539154053,1.5468215942382812,0.9491738080978394,1
9,relu,relu,15,0.5,2.596944808959961,1.3431650400161743,2.5669901371002197,1.358071208000183,1
10,linear,relu,15,0.5,1.5143641233444214,0.9411147236824036,1.5171750783920288,0.8995567560195923,1
11,tanh,relu,15,0.5,4.496415615081787,1.7874425649642944,5.250483512878418,1.988673210144043,1
12,relu,linear,15,0.5,2.6872503757476807,1.357130765914917,2.744579315185547,1.3700705766677856,1
13,linear,linear,15,0.5,1.4287450313568115,0.9186723232269287,1.4126161336898804,0.8820764422416687,1
14,tanh,linear,15,0.5,2.558518648147583,1.3072457313537598,2.814167022705078,1.3908573389053345,1
15,relu,tanh,15,0.5,1.9377297163009644,1.129713773727417,1.9151045083999634,1.1372519731521606,1
16,linear,tanh,15,0.5,1.476082444190979,0.9297265410423279,1.445650339126587,0.877755880355835,1
17,tanh,tanh,15,0.5,1.681111454963684,0.9867114424705505,1.7057056427001953,0.9739187955856323,1
18,relu,relu,30,0.2,2.7396810054779053,1.380940318107605,2.947765350341797,1.454282522201538,1
19,linear,relu,30,0.2,1.4047690629959106,0.9152610301971436,1.3901243209838867,0.896370530128479,1
20,tanh,relu,30,0.2,6.606821060180664,2.140366554260254,7.388113021850586,2.3421268463134766,1
21,relu,linear,30,0.2,1.4188803434371948,0.9117261171340942,1.4302568435668945,0.8608384132385254,1
22,linear,linear,30,0.2,1.5033389329910278,0.9276884198188782,1.6587985754013062,0.9559904336929321,1
23,tanh,linear,30,0.2,3.031367301940918,1.4542276859283447,3.3909530639648438,1.5995097160339355,1
24,relu,tanh,30,0.2,1.6296591758728027,1.0074366331100464,1.4153552055358887,0.9241732358932495,1
25,linear,tanh,30,0.2,2.0407636165618896,1.0993002653121948,2.373223066329956,1.2080156803131104,1
26,tanh,tanh,30,0.2,1.512453317642212,0.9534342288970947,1.335111379623413,0.8851786255836487,1
27,relu,relu,30,0.5,2.2524194717407227,1.230475902557373,2.025991201400757,1.1642111539840698,1
28,linear,relu,30,0.5,1.6902408599853516,1.008569598197937,1.501395344734192,0.9197235107421875,1
29,tanh,relu,30,0.5,2.8721444606781006,1.3387094736099243,3.2328310012817383,1.4275933504104614,1
30,relu,linear,30,0.5,1.690152645111084,1.034365177154541,1.4392503499984741,0.9236966967582703,1
31,linear,linear,30,0.5,1.6856938600540161,0.984269380569458,1.7734973430633545,0.9952837228775024,1
32,tanh,linear,30,0.5,1.8161853551864624,1.0350162982940674,1.7811508178710938,0.9779515266418457,1
33,relu,tanh,30,0.5,1.5755395889282227,0.9596529006958008,1.370971441268921,0.8835877776145935,1
34,linear,tanh,30,0.5,4.670940399169922,1.8474020957946777,5.014868259429932,1.9662880897521973,1
35,tanh,tanh,30,0.5,2.01379132270813,1.0826492309570312,1.877188801765442,1.0396053791046143,1
36,relu,relu,15,0.2,13.466730117797852,3.2080726623535156,15.495086669921875,3.550323963165283,2
37,linear,relu,15,0.2,17.500856399536133,3.6406641006469727,20.943988800048828,4.160759925842285,2
38,tanh,relu,15,0.2,13.1571683883667,3.175558090209961,15.712800025939941,3.584178924560547,2
39,relu,linear,15,0.2,14.161221504211426,3.3061041831970215,16.259145736694336,3.659052610397339,2
40,linear,linear,15,0.2,10.520626068115234,2.814577579498291,11.851890563964844,3.068073272705078,2
41,tanh,linear,15,0.2,18.147113800048828,3.824187994003296,21.876150131225586,4.345357894897461,2
42,relu,tanh,15,0.2,14.284065246582031,3.2041287422180176,17.234378814697266,3.6575372219085693,2
43,linear,tanh,15,0.2,15.659570693969727,3.443314790725708,18.783401489257812,3.9216341972351074,2
44,tanh,tanh,15,0.2,13.655657768249512,3.2278127670288086,16.30878448486328,3.633526563644409,2
45,relu,relu,15,0.5,78.47084045410156,8.001042366027832,95.7084732055664,9.199316024780273,2
46,linear,relu,15,0.5,79.80500030517578,8.073502540588379,97.20439910888672,9.262277603149414,2
47,tanh,relu,15,0.5,86.01771545410156,8.429810523986816,105.77315521240234,9.694902420043945,2
48,relu,linear,15,0.5,75.32994842529297,7.829995155334473,91.80413055419922,8.995162010192871,2
49,linear,linear,15,0.5,78.68321228027344,8.005797386169434,95.48814392089844,9.177665710449219,2
50,tanh,linear,15,0.5,78.22808074951172,7.988378524780273,95.98263549804688,9.185871124267578,2
51,relu,tanh,15,0.5,81.29611206054688,8.092657089233398,99.53440856933594,9.321040153503418,2
52,linear,tanh,15,0.5,78.33424377441406,8.037933349609375,94.84844970703125,9.190872192382812,2
53,tanh,tanh,15,0.5,82.0864486694336,8.178295135498047,100.72112274169922,9.421721458435059,2
54,relu,relu,30,0.2,320.15313720703125,16.280799865722656,355.80126953125,17.883060455322266,2
55,linear,relu,30,0.2,16.870384216308594,3.6134979724884033,18.645004272460938,3.963733434677124,2
56,tanh,relu,30,0.2,14.440637588500977,3.387866735458374,15.729890823364258,3.6659433841705322,2
57,relu,linear,30,0.2,13.825289726257324,3.247713327407837,14.076942443847656,3.3821773529052734,2
58,linear,linear,30,0.2,17.19062042236328,3.652135133743286,19.18256950378418,4.065499305725098,2
59,tanh,linear,30,0.2,18.607398986816406,3.853762149810791,20.586406707763672,4.2077178955078125,2
60,relu,tanh,30,0.2,9.530900001525879,2.742720603942871,9.652790069580078,2.826500654220581,2
61,linear,tanh,30,0.2,15.30708122253418,3.498505115509033,17.30209732055664,3.862257242202759,2
62,tanh,tanh,30,0.2,12.792569160461426,3.084932804107666,14.149965286254883,3.3973963260650635,2
63,relu,relu,30,0.5,80.46464538574219,8.115378379821777,87.6084213256836,8.816128730773926,2
64,linear,relu,30,0.5,77.76311492919922,7.955566883087158,85.8941879272461,8.729713439941406,2
65,tanh,relu,30,0.5,83.94281005859375,8.312559127807617,92.50364685058594,9.081817626953125,2
66,relu,linear,30,0.5,75.67050170898438,7.866539478302002,81.98544311523438,8.523170471191406,2
67,linear,linear,30,0.5,320.15313720703125,16.280799865722656,355.80126953125,17.883060455322266,2
68,tanh,linear,30,0.5,82.4928970336914,8.222389221191406,91.69145965576172,9.042892456054688,2
69,relu,tanh,30,0.5,68.95499420166016,7.433752059936523,74.4200210571289,8.0487642288208,2
70,linear,tanh,30,0.5,79.57633209228516,8.080020904541016,87.83537292480469,8.843271255493164,2
71,tanh,tanh,30,0.5,75.37742614746094,7.856161117553711,82.15525817871094,8.538701057434082,2
