cluster,type,input_lst_layer,lstm activations,time_steps,dropout,train_mse,train_mae,test_mse,test_mae
1,1,relu,tanh,30,0.2,1.644896,0.967827,1.685593,1.001359
1,2,tanh,linear,30,0.2,10.07064,2.704421,10.52018,2.871158
2,1,linear,linear,15,0.2,1.606804,0.963259,1.629281,0.969318
2,2,tanh,relu,30,0.2,10.75359,2.718013,11.41505,2.909768
3,1,linear,linear,30,0.5,1.720933,0.973172,0.975113,0.723653
3,2,tanh,linear,15,0.2,11.58635,2.999066,11.70722,3.11592
4,1,relu,linear,30,0.2,1.498927,0.939521,1.153782,0.828224
4,2,linear,linear,30,0.2,14.61104,3.486785,15.00528,3.611625
5,1,tanh,tanh,30,0.2,1.512453,0.953434,1.335111,0.885179
5,2,relu,tanh,30,0.2,9.5309,2.742721,9.65279,2.826501
